article_id;essay;emotion;tokens;1-gram;2-gram
34;thought article quite sad read disheartening hear iraqi people felt sad knowing future uncertain hard find job economy deal much worse imagine difficult must living hope get better future;sadness;['thought', 'article', 'quite', 'sad', 'read', 'disheartening', 'hear', 'iraqi', 'people', 'felt', 'sad', 'knowing', 'future', 'uncertain', 'hard', 'find', 'job', 'economy', 'deal', 'much', 'worse', 'imagine', 'difficult', 'must', 'living', 'hope', 'get', 'better', 'future'];['thought', 'article', 'quite', 'sad', 'read', 'disheartening', 'hear', 'iraqi', 'people', 'felt', 'sad', 'knowing', 'future', 'uncertain', 'hard', 'find', 'job', 'economy', 'deal', 'much', 'worse', 'imagine', 'difficult', 'must', 'living', 'hope', 'get', 'better', 'future'];['thought article', 'article quite', 'quite sad', 'sad read', 'read disheartening', 'disheartening hear', 'hear iraqi', 'iraqi people', 'people felt', 'felt sad', 'sad knowing', 'knowing future', 'future uncertain', 'uncertain hard', 'hard find', 'find job', 'job economy', 'economy deal', 'deal much', 'much worse', 'worse imagine', 'imagine difficult', 'difficult must', 'must living', 'living hope', 'hope get', 'get better', 'better future']
99;im sorry hear dakota parent even adult must hard see parent one want happen unfortunate parent couldnt work hope able still remain civil around kid family didnt work doesnt mean wont work;sadness;['im', 'sorry', 'hear', 'dakota', 'parent', 'even', 'adult', 'must', 'hard', 'see', 'parent', 'one', 'want', 'happen', 'unfortunate', 'parent', 'couldnt', 'work', 'hope', 'able', 'still', 'remain', 'civil', 'around', 'kid', 'family', 'didnt', 'work', 'doesnt', 'mean', 'wont', 'work'];['im', 'sorry', 'hear', 'dakota', 'parent', 'even', 'adult', 'must', 'hard', 'see', 'parent', 'one', 'want', 'happen', 'unfortunate', 'parent', 'couldnt', 'work', 'hope', 'able', 'still', 'remain', 'civil', 'around', 'kid', 'family', 'didnt', 'work', 'doesnt', 'mean', 'wont', 'work'];['im sorry', 'sorry hear', 'hear dakota', 'dakota parent', 'parent even', 'even adult', 'adult must', 'must hard', 'hard see', 'see parent', 'parent one', 'one want', 'want happen', 'happen unfortunate', 'unfortunate parent', 'parent couldnt', 'couldnt work', 'work hope', 'hope able', 'able still', 'still remain', 'remain civil', 'civil around', 'around kid', 'kid family', 'family didnt', 'didnt work', 'work doesnt', 'doesnt mean', 'mean wont', 'wont work']
170;hearing violence going politics country really sad upsetting easy take granted live lucky dont worry people killing u daily basis government also democratic mean people voice isnt case area;sadness;['hearing', 'violence', 'going', 'politics', 'country', 'really', 'sad', 'upsetting', 'easy', 'take', 'granted', 'live', 'lucky', 'dont', 'worry', 'people', 'killing', 'u', 'daily', 'basis', 'government', 'also', 'democratic', 'mean', 'people', 'voice', 'isnt', 'case', 'area'];['hearing', 'violence', 'going', 'politics', 'country', 'really', 'sad', 'upsetting', 'easy', 'take', 'granted', 'live', 'lucky', 'dont', 'worry', 'people', 'killing', 'u', 'daily', 'basis', 'government', 'also', 'democratic', 'mean', 'people', 'voice', 'isnt', 'case', 'area'];['hearing violence', 'violence going', 'going politics', 'politics country', 'country really', 'really sad', 'sad upsetting', 'upsetting easy', 'easy take', 'take granted', 'granted live', 'live lucky', 'lucky dont', 'dont worry', 'worry people', 'people killing', 'killing u', 'u daily', 'daily basis', 'basis government', 'government also', 'also democratic', 'democratic mean', 'mean people', 'people voice', 'voice isnt', 'isnt case', 'case area']
322;think almost everyone opinion hilary clinton donald trump many didnt expect donald win election many political scandal continuing many didnt agree hilary investigation many didnt agree trump end thats politics;neutral;['think', 'almost', 'everyone', 'opinion', 'hilary', 'clinton', 'donald', 'trump', 'many', 'didnt', 'expect', 'donald', 'win', 'election', 'many', 'political', 'scandal', 'continuing', 'many', 'didnt', 'agree', 'hilary', 'investigation', 'many', 'didnt', 'agree', 'trump', 'end', 'thats', 'politics'];['think', 'almost', 'everyone', 'opinion', 'hilary', 'clinton', 'donald', 'trump', 'many', 'didnt', 'expect', 'donald', 'win', 'election', 'many', 'political', 'scandal', 'continuing', 'many', 'didnt', 'agree', 'hilary', 'investigation', 'many', 'didnt', 'agree', 'trump', 'end', 'thats', 'politics'];['think almost', 'almost everyone', 'everyone opinion', 'opinion hilary', 'hilary clinton', 'clinton donald', 'donald trump', 'trump many', 'many didnt', 'didnt expect', 'expect donald', 'donald win', 'win election', 'election many', 'many political', 'political scandal', 'scandal continuing', 'continuing many', 'many didnt', 'didnt agree', 'agree hilary', 'hilary investigation', 'investigation many', 'many didnt', 'didnt agree', 'agree trump', 'trump end', 'end thats', 'thats politics']
370;sad see world hunger still large issue country especially seems like much food go waste child passing street simply food eat heartbreaking one suffer simply cant afford food need another option;sadness;['sad', 'see', 'world', 'hunger', 'still', 'large', 'issue', 'country', 'especially', 'seems', 'like', 'much', 'food', 'go', 'waste', 'child', 'passing', 'street', 'simply', 'food', 'eat', 'heartbreaking', 'one', 'suffer', 'simply', 'cant', 'afford', 'food', 'need', 'another', 'option'];['sad', 'see', 'world', 'hunger', 'still', 'large', 'issue', 'country', 'especially', 'seems', 'like', 'much', 'food', 'go', 'waste', 'child', 'passing', 'street', 'simply', 'food', 'eat', 'heartbreaking', 'one', 'suffer', 'simply', 'cant', 'afford', 'food', 'need', 'another', 'option'];['sad see', 'see world', 'world hunger', 'hunger still', 'still large', 'large issue', 'issue country', 'country especially', 'especially seems', 'seems like', 'like much', 'much food', 'food go', 'go waste', 'waste child', 'child passing', 'passing street', 'street simply', 'simply food', 'food eat', 'eat heartbreaking', 'heartbreaking one', 'one suffer', 'suffer simply', 'simply cant', 'cant afford', 'afford food', 'food need', 'need another', 'another option']
53;really amazing much food waste country considering obese people cant believe think lot food eat dont need throw away much food belongs people really need wish people would donate restaurant could donate food homeless shelter;surprise;['really', 'amazing', 'much', 'food', 'waste', 'country', 'considering', 'obese', 'people', 'cant', 'believe', 'think', 'lot', 'food', 'eat', 'dont', 'need', 'throw', 'away', 'much', 'food', 'belongs', 'people', 'really', 'need', 'wish', 'people', 'would', 'donate', 'restaurant', 'could', 'donate', 'food', 'homeless', 'shelter'];['really', 'amazing', 'much', 'food', 'waste', 'country', 'considering', 'obese', 'people', 'cant', 'believe', 'think', 'lot', 'food', 'eat', 'dont', 'need', 'throw', 'away', 'much', 'food', 'belongs', 'people', 'really', 'need', 'wish', 'people', 'would', 'donate', 'restaurant', 'could', 'donate', 'food', 'homeless', 'shelter'];['really amazing', 'amazing much', 'much food', 'food waste', 'waste country', 'country considering', 'considering obese', 'obese people', 'people cant', 'cant believe', 'believe think', 'think lot', 'lot food', 'food eat', 'eat dont', 'dont need', 'need throw', 'throw away', 'away much', 'much food', 'food belongs', 'belongs people', 'people really', 'really need', 'need wish', 'wish people', 'people would', 'would donate', 'donate restaurant', 'restaurant could', 'could donate', 'donate food', 'food homeless', 'homeless shelter']
120;crazy story many mean one hand dont support eye eye dont support death penalty dont support blinding someone hand country woman really struggle justice system well developed also blinded four year old girl fuck wrong guy america would support dont feel right condemning action entirely different country felt needed done;anger;['crazy', 'story', 'many', 'mean', 'one', 'hand', 'dont', 'support', 'eye', 'eye', 'dont', 'support', 'death', 'penalty', 'dont', 'support', 'blinding', 'someone', 'hand', 'country', 'woman', 'really', 'struggle', 'justice', 'system', 'well', 'developed', 'also', 'blinded', 'four', 'year', 'old', 'girl', 'fuck', 'wrong', 'guy', 'america', 'would', 'support', 'dont', 'feel', 'right', 'condemning', 'action', 'entirely', 'different', 'country', 'felt', 'needed', 'done'];['crazy', 'story', 'many', 'mean', 'one', 'hand', 'dont', 'support', 'eye', 'eye', 'dont', 'support', 'death', 'penalty', 'dont', 'support', 'blinding', 'someone', 'hand', 'country', 'woman', 'really', 'struggle', 'justice', 'system', 'well', 'developed', 'also', 'blinded', 'four', 'year', 'old', 'girl', 'fuck', 'wrong', 'guy', 'america', 'would', 'support', 'dont', 'feel', 'right', 'condemning', 'action', 'entirely', 'different', 'country', 'felt', 'needed', 'done'];['crazy story', 'story many', 'many mean', 'mean one', 'one hand', 'hand dont', 'dont support', 'support eye', 'eye eye', 'eye dont', 'dont support', 'support death', 'death penalty', 'penalty dont', 'dont support', 'support blinding', 'blinding someone', 'someone hand', 'hand country', 'country woman', 'woman really', 'really struggle', 'struggle justice', 'justice system', 'system well', 'well developed', 'developed also', 'also blinded', 'blinded four', 'four year', 'year old', 'old girl', 'girl fuck', 'fuck wrong', 'wrong guy', 'guy america', 'america would', 'would support', 'support dont', 'dont feel', 'feel right', 'right condemning', 'condemning action', 'action entirely', 'entirely different', 'different country', 'country felt', 'felt needed', 'needed done']
185;ive heard really fucking scary think tiny little cut could get disease high likelihood killing there also similar bacteria called get body water going basically eats brain nature fucking metal;disgust;['ive', 'heard', 'really', 'fucking', 'scary', 'think', 'tiny', 'little', 'cut', 'could', 'get', 'disease', 'high', 'likelihood', 'killing', 'there', 'also', 'similar', 'bacteria', 'called', 'get', 'body', 'water', 'going', 'basically', 'eats', 'brain', 'nature', 'fucking', 'metal'];['ive', 'heard', 'really', 'fucking', 'scary', 'think', 'tiny', 'little', 'cut', 'could', 'get', 'disease', 'high', 'likelihood', 'killing', 'there', 'also', 'similar', 'bacteria', 'called', 'get', 'body', 'water', 'going', 'basically', 'eats', 'brain', 'nature', 'fucking', 'metal'];['ive heard', 'heard really', 'really fucking', 'fucking scary', 'scary think', 'think tiny', 'tiny little', 'little cut', 'cut could', 'could get', 'get disease', 'disease high', 'high likelihood', 'likelihood killing', 'killing there', 'there also', 'also similar', 'similar bacteria', 'bacteria called', 'called get', 'get body', 'body water', 'water going', 'going basically', 'basically eats', 'eats brain', 'brain nature', 'nature fucking', 'fucking metal']
273;totally support protester weve trouble oil pipeline michigan feel like pipeline local community without care whether good community without study safe leak pollution important thing life money oil;disgust;['totally', 'support', 'protester', 'weve', 'trouble', 'oil', 'pipeline', 'michigan', 'feel', 'like', 'pipeline', 'local', 'community', 'without', 'care', 'whether', 'good', 'community', 'without', 'study', 'safe', 'leak', 'pollution', 'important', 'thing', 'life', 'money', 'oil'];['totally', 'support', 'protester', 'weve', 'trouble', 'oil', 'pipeline', 'michigan', 'feel', 'like', 'pipeline', 'local', 'community', 'without', 'care', 'whether', 'good', 'community', 'without', 'study', 'safe', 'leak', 'pollution', 'important', 'thing', 'life', 'money', 'oil'];['totally support', 'support protester', 'protester weve', 'weve trouble', 'trouble oil', 'oil pipeline', 'pipeline michigan', 'michigan feel', 'feel like', 'like pipeline', 'pipeline local', 'local community', 'community without', 'without care', 'care whether', 'whether good', 'good community', 'community without', 'without study', 'study safe', 'safe leak', 'leak pollution', 'pollution important', 'important thing', 'thing life', 'life money', 'money oil']
391;im really confused multiple article together like first perturbed first article felt like lady ridiculous pound obviously calorie diet going cause lose weight fact cant find scale weigh doesnt matter dont need scale tell youre losing weight measure body tape got article mexican student found really horrifying cant believe terrible thing people one another;surprise;['im', 'really', 'confused', 'multiple', 'article', 'together', 'like', 'first', 'perturbed', 'first', 'article', 'felt', 'like', 'lady', 'ridiculous', 'pound', 'obviously', 'calorie', 'diet', 'going', 'cause', 'lose', 'weight', 'fact', 'cant', 'find', 'scale', 'weigh', 'doesnt', 'matter', 'dont', 'need', 'scale', 'tell', 'youre', 'losing', 'weight', 'measure', 'body', 'tape', 'got', 'article', 'mexican', 'student', 'found', 'really', 'horrifying', 'cant', 'believe', 'terrible', 'thing', 'people', 'one', 'another'];['im', 'really', 'confused', 'multiple', 'article', 'together', 'like', 'first', 'perturbed', 'first', 'article', 'felt', 'like', 'lady', 'ridiculous', 'pound', 'obviously', 'calorie', 'diet', 'going', 'cause', 'lose', 'weight', 'fact', 'cant', 'find', 'scale', 'weigh', 'doesnt', 'matter', 'dont', 'need', 'scale', 'tell', 'youre', 'losing', 'weight', 'measure', 'body', 'tape', 'got', 'article', 'mexican', 'student', 'found', 'really', 'horrifying', 'cant', 'believe', 'terrible', 'thing', 'people', 'one', 'another'];['im really', 'really confused', 'confused multiple', 'multiple article', 'article together', 'together like', 'like first', 'first perturbed', 'perturbed first', 'first article', 'article felt', 'felt like', 'like lady', 'lady ridiculous', 'ridiculous pound', 'pound obviously', 'obviously calorie', 'calorie diet', 'diet going', 'going cause', 'cause lose', 'lose weight', 'weight fact', 'fact cant', 'cant find', 'find scale', 'scale weigh', 'weigh doesnt', 'doesnt matter', 'matter dont', 'dont need', 'need scale', 'scale tell', 'tell youre', 'youre losing', 'losing weight', 'weight measure', 'measure body', 'body tape', 'tape got', 'got article', 'article mexican', 'mexican student', 'student found', 'found really', 'really horrifying', 'horrifying cant', 'cant believe', 'believe terrible', 'terrible thing', 'thing people', 'people one', 'one another']
38;bad still middle east wish trump would pull middle east entirely soldier stop target country hate u longer easier make inflict damage troop must easy away family;joy;['bad', 'still', 'middle', 'east', 'wish', 'trump', 'would', 'pull', 'middle', 'east', 'entirely', 'soldier', 'stop', 'target', 'country', 'hate', 'u', 'longer', 'easier', 'make', 'inflict', 'damage', 'troop', 'must', 'easy', 'away', 'family'];['bad', 'still', 'middle', 'east', 'wish', 'trump', 'would', 'pull', 'middle', 'east', 'entirely', 'soldier', 'stop', 'target', 'country', 'hate', 'u', 'longer', 'easier', 'make', 'inflict', 'damage', 'troop', 'must', 'easy', 'away', 'family'];['bad still', 'still middle', 'middle east', 'east wish', 'wish trump', 'trump would', 'would pull', 'pull middle', 'middle east', 'east entirely', 'entirely soldier', 'soldier stop', 'stop target', 'target country', 'country hate', 'hate u', 'u longer', 'longer easier', 'easier make', 'make inflict', 'inflict damage', 'damage troop', 'troop must', 'must easy', 'easy away', 'away family']
152;shame air pollution potentially linked increased mental damage young child often dont take account damage fossil fuel company done society creating fuel use never tax appropriately damage cause u;anger;['shame', 'air', 'pollution', 'potentially', 'linked', 'increased', 'mental', 'damage', 'young', 'child', 'often', 'dont', 'take', 'account', 'damage', 'fossil', 'fuel', 'company', 'done', 'society', 'creating', 'fuel', 'use', 'never', 'tax', 'appropriately', 'damage', 'cause', 'u'];['shame', 'air', 'pollution', 'potentially', 'linked', 'increased', 'mental', 'damage', 'young', 'child', 'often', 'dont', 'take', 'account', 'damage', 'fossil', 'fuel', 'company', 'done', 'society', 'creating', 'fuel', 'use', 'never', 'tax', 'appropriately', 'damage', 'cause', 'u'];['shame air', 'air pollution', 'pollution potentially', 'potentially linked', 'linked increased', 'increased mental', 'mental damage', 'damage young', 'young child', 'child often', 'often dont', 'dont take', 'take account', 'account damage', 'damage fossil', 'fossil fuel', 'fuel company', 'company done', 'done society', 'society creating', 'creating fuel', 'fuel use', 'use never', 'never tax', 'tax appropriately', 'appropriately damage', 'damage cause', 'cause u']
242;shame troubled middle east time wish could come agreement rest world realistically handle multiple situation middle east feel pull let handle problem guidance u;sadness;['shame', 'troubled', 'middle', 'east', 'time', 'wish', 'could', 'come', 'agreement', 'rest', 'world', 'realistically', 'handle', 'multiple', 'situation', 'middle', 'east', 'feel', 'pull', 'let', 'handle', 'problem', 'guidance', 'u'];['shame', 'troubled', 'middle', 'east', 'time', 'wish', 'could', 'come', 'agreement', 'rest', 'world', 'realistically', 'handle', 'multiple', 'situation', 'middle', 'east', 'feel', 'pull', 'let', 'handle', 'problem', 'guidance', 'u'];['shame troubled', 'troubled middle', 'middle east', 'east time', 'time wish', 'wish could', 'could come', 'come agreement', 'agreement rest', 'rest world', 'world realistically', 'realistically handle', 'handle multiple', 'multiple situation', 'situation middle', 'middle east', 'east feel', 'feel pull', 'pull let', 'let handle', 'handle problem', 'problem guidance', 'guidance u']
